z, Voltage (V), Electric Field (Newton/Coulomb)
0.00323664 , 1805.82 , -265094
0.00323164 , 1804.49 , -265998
0.00322664 , 1803.16 , -266903
0.00322164 , 1801.82 , -267808
0.00321664 , 1800.48 , -268713
0.00321164 , 1799.14 , -269617
0.00320664 , 1797.78 , -270522
0.00320164 , 1796.43 , -271427
0.00319664 , 1795.07 , -272332
0.00319164 , 1793.71 , -273236
0.00318664 , 1792.34 , -274141
0.00318164 , 1790.97 , -275046
0.00317664 , 1789.59 , -275951
0.00317164 , 1788.21 , -276855
0.00316664 , 1786.82 , -277760
0.00316164 , 1785.43 , -278665
0.00315664 , 1784.03 , -279570
0.00315164 , 1782.63 , -280474
0.00314664 , 1781.23 , -281379
0.00314164 , 1779.82 , -282284
0.00313664 , 1778.4 , -283189
0.00313164 , 1776.99 , -284093
0.00312664 , 1775.56 , -284998
0.00312164 , 1774.14 , -285903
0.00311664 , 1772.7 , -286808
0.00311164 , 1771.27 , -287713
0.00310664 , 1769.83 , -288617
0.00310164 , 1768.38 , -289522
0.00309664 , 1766.93 , -290427
0.00309164 , 1765.48 , -291332
0.00308664 , 1764.02 , -292236
0.00308164 , 1762.56 , -293141
0.00307664 , 1761.09 , -294046
0.00307164 , 1759.62 , -294951
0.00306664 , 1758.14 , -295855
0.00306164 , 1756.66 , -296760
0.00305664 , 1755.17 , -297665
0.00305164 , 1753.68 , -298570
0.00304664 , 1752.19 , -299474
0.00304164 , 1750.69 , -300379
0.00303664 , 1749.18 , -301284
0.00303164 , 1747.67 , -302189
0.00302664 , 1746.16 , -303093
0.00302164 , 1744.64 , -303998
0.00301664 , 1743.12 , -304903
0.00301164 , 1741.59 , -305808
0.00300664 , 1740.06 , -306712
0.00300164 , 1738.53 , -307617
0.00299664 , 1736.99 , -308522
0.00299164 , 1735.44 , -309427
0.00298664 , 1733.89 , -310331
0.00298164 , 1732.34 , -311236
0.00297664 , 1730.78 , -312141
0.00297164 , 1729.22 , -313046
0.00296664 , 1727.65 , -313950
0.00296164 , 1726.08 , -314855
0.00295664 , 1724.5 , -315760
0.00295164 , 1722.92 , -316665
0.00294664 , 1721.33 , -317570
0.00294164 , 1719.74 , -318474
0.00293664 , 1718.15 , -319379
0.00293164 , 1716.55 , -320284
0.00292664 , 1714.95 , -321189
0.00292164 , 1713.34 , -322093
0.00291664 , 1711.72 , -322998
0.00291164 , 1710.11 , -323903
0.00290664 , 1708.49 , -324808
0.00290164 , 1706.86 , -325712
0.00289664 , 1705.23 , -326617
0.00289164 , 1703.59 , -327522
0.00288664 , 1701.95 , -328427
0.00288164 , 1700.31 , -329331
0.00287664 , 1698.66 , -330236
0.00287164 , 1697.01 , -331141
0.00286664 , 1695.35 , -332046
0.00286164 , 1693.69 , -332950
0.00285664 , 1692.02 , -333855
0.00285164 , 1690.35 , -334760
0.00284664 , 1688.67 , -335665
0.00284164 , 1686.99 , -336569
