z, Voltage (V), Electric Field (Newton/Coulomb)
0.00555352 , 796.819 , -112410
0.00554852 , 796.257 , -112488
0.00554352 , 795.694 , -112565
0.00553852 , 795.131 , -112643
0.00553352 , 794.568 , -112720
0.00552852 , 794.004 , -112797
0.00552352 , 793.44 , -112874
0.00551852 , 792.875 , -112951
0.00551352 , 792.31 , -113028
0.00550852 , 791.745 , -113105
0.00550352 , 791.179 , -113182
0.00549852 , 790.613 , -113259
0.00549352 , 790.047 , -113335
0.00548852 , 789.48 , -113411
0.00548352 , 788.913 , -113488
0.00547852 , 788.345 , -113564
0.00547352 , 787.777 , -113640
0.00546852 , 787.209 , -113716
0.00546352 , 786.64 , -113792
0.00545852 , 786.071 , -113868
0.00545352 , 785.501 , -113944
0.00544852 , 784.931 , -114019
0.00544352 , 784.361 , -114095
0.00543852 , 783.79 , -114170
0.00543352 , 783.219 , -114245
0.00542852 , 782.648 , -114321
0.00542352 , 782.076 , -114396
0.00541852 , 781.504 , -114471
0.00541352 , 780.931 , -114546
0.00540852 , 780.359 , -114620
0.00540352 , 779.785 , -114695
0.00539852 , 779.212 , -114770
0.00539352 , 778.638 , -114844
0.00538852 , 778.063 , -114919
0.00538352 , 777.488 , -114993
0.00537852 , 776.913 , -115067
0.00537352 , 776.338 , -115141
0.00536852 , 775.762 , -115216
0.00536352 , 775.185 , -115289
0.00535852 , 774.609 , -115363
0.00535352 , 774.032 , -115437
0.00534852 , 773.454 , -115511
0.00534352 , 772.877 , -115584
0.00533852 , 772.299 , -115658
0.00533352 , 771.72 , -115731
0.00532852 , 771.141 , -115805
0.00532352 , 770.562 , -115878
0.00531852 , 769.983 , -115951
0.00531352 , 769.403 , -116024
0.00530852 , 768.822 , -116097
0.00530352 , 768.242 , -116170
0.00529852 , 767.661 , -116242
0.00529352 , 767.079 , -116315
0.00528852 , 766.497 , -116388
0.00528352 , 765.915 , -116460
0.00527852 , 765.333 , -116532
0.00527352 , 764.75 , -116605
0.00526852 , 764.167 , -116677
0.00526352 , 763.583 , -116749
0.00525852 , 762.999 , -116821
0.00525352 , 762.415 , -116893
0.00524852 , 761.83 , -116965
0.00524352 , 761.245 , -117037
0.00523852 , 760.66 , -117108
0.00523352 , 760.074 , -117180
0.00522852 , 759.488 , -117251
0.00522352 , 758.902 , -117323
0.00521852 , 758.315 , -117394
0.00521352 , 757.728 , -117465
0.00520852 , 757.14 , -117536
0.00520352 , 756.553 , -117607
0.00519852 , 755.964 , -117678
0.00519352 , 755.376 , -117749
0.00518852 , 754.787 , -117820
0.00518352 , 754.198 , -117891
0.00517852 , 753.608 , -117962
0.00517352 , 753.018 , -118032
0.00516852 , 752.428 , -118103
